table,gender,tobacco,attained_age,q_ult
t3265,Male,Non-Smoker,18,6.9e-4
t3265,Male,Non-Smoker,19,7.2e-4
t3265,Male,Non-Smoker,20,7.4e-4
t3265,Male,Non-Smoker,21,7.7e-4
t3265,Male,Non-Smoker,22,7.5e-4
t3265,Male,Non-Smoker,23,7.2e-4
t3265,Male,Non-Smoker,24,7.1e-4
t3265,Male,Non-Smoker,25,7.1e-4
t3265,Male,Non-Smoker,26,6.1e-4
t3265,Male,Non-Smoker,27,5.8e-4
t3265,Male,Non-Smoker,28,5.2e-4
t3265,Male,Non-Smoker,29,4.8e-4
t3265,Male,Non-Smoker,30,4.6e-4
t3265,Male,Non-Smoker,31,4.8e-4
t3265,Male,Non-Smoker,32,5e-4
t3265,Male,Non-Smoker,33,5.7e-4
t3265,Male,Non-Smoker,34,6.5e-4
t3265,Male,Non-Smoker,35,7.6e-4
t3265,Male,Non-Smoker,36,8.8e-4
t3265,Male,Non-Smoker,37,0.001
t3265,Male,Non-Smoker,38,0.0011
t3265,Male,Non-Smoker,39,0.00116
t3265,Male,Non-Smoker,40,0.00121
t3265,Male,Non-Smoker,41,0.00128
t3265,Male,Non-Smoker,42,0.00136
t3265,Male,Non-Smoker,43,0.00145
t3265,Male,Non-Smoker,44,0.00152
t3265,Male,Non-Smoker,45,0.00156
t3265,Male,Non-Smoker,46,0.00162
t3265,Male,Non-Smoker,47,0.00168
t3265,Male,Non-Smoker,48,0.00175
t3265,Male,Non-Smoker,49,0.00183
t3265,Male,Non-Smoker,50,0.00192
t3265,Male,Non-Smoker,51,0.00206
t3265,Male,Non-Smoker,52,0.00225
t3265,Male,Non-Smoker,53,0.00246
t3265,Male,Non-Smoker,54,0.00269
t3265,Male,Non-Smoker,55,0.00291
t3265,Male,Non-Smoker,56,0.00312
t3265,Male,Non-Smoker,57,0.00332
t3265,Male,Non-Smoker,58,0.00353
t3265,Male,Non-Smoker,59,0.00378
t3265,Male,Non-Smoker,60,0.00408
t3265,Male,Non-Smoker,61,0.00448
t3265,Male,Non-Smoker,62,0.00499
t3265,Male,Non-Smoker,63,0.00556
t3265,Male,Non-Smoker,64,0.0062
t3265,Male,Non-Smoker,65,0.00688
t3265,Male,Non-Smoker,66,0.00762
t3265,Male,Non-Smoker,67,0.00842
t3265,Male,Non-Smoker,68,0.0093
t3265,Male,Non-Smoker,69,0.0103
t3265,Male,Non-Smoker,70,0.01147
t3265,Male,Non-Smoker,71,0.01286
t3265,Male,Non-Smoker,72,0.01452
t3265,Male,Non-Smoker,73,0.01646
t3265,Male,Non-Smoker,74,0.01867
t3265,Male,Non-Smoker,75,0.02114
t3265,Male,Non-Smoker,76,0.02385
t3265,Male,Non-Smoker,77,0.02683
t3265,Male,Non-Smoker,78,0.03013
t3265,Male,Non-Smoker,79,0.0339
t3265,Male,Non-Smoker,80,0.03826
t3265,Male,Non-Smoker,81,0.04336
t3265,Male,Non-Smoker,82,0.04907
t3265,Male,Non-Smoker,83,0.05563
t3265,Male,Non-Smoker,84,0.06322
t3265,Male,Non-Smoker,85,0.07204
t3265,Male,Non-Smoker,86,0.08226
t3265,Male,Non-Smoker,87,0.09399
t3265,Male,Non-Smoker,88,0.10725
t3265,Male,Non-Smoker,89,0.12161
t3265,Male,Non-Smoker,90,0.1369
t3265,Male,Non-Smoker,91,0.1526
t3265,Male,Non-Smoker,92,0.16828
t3265,Male,Non-Smoker,93,0.18374
t3265,Male,Non-Smoker,94,0.19822
t3265,Male,Non-Smoker,95,0.21108
t3265,Male,Non-Smoker,96,0.22779
t3265,Male,Non-Smoker,97,0.24559
t3265,Male,Non-Smoker,98,0.26495
t3265,Male,Non-Smoker,99,0.28546
t3265,Male,Non-Smoker,100,0.3067
t3265,Male,Non-Smoker,101,0.32825
t3265,Male,Non-Smoker,102,0.35002
t3265,Male,Non-Smoker,103,0.37165
t3265,Male,Non-Smoker,104,0.39279
t3265,Male,Non-Smoker,105,0.41305
t3265,Male,Non-Smoker,106,0.43208
t3265,Male,Non-Smoker,107,0.44951
t3265,Male,Non-Smoker,108,0.46498
t3265,Male,Non-Smoker,109,0.47812
t3265,Male,Non-Smoker,110,0.48857
t3265,Male,Non-Smoker,111,0.49595
t3265,Male,Non-Smoker,112,0.5
t3265,Male,Non-Smoker,113,0.5
t3265,Male,Non-Smoker,114,0.5
t3265,Male,Non-Smoker,115,0.5
t3265,Male,Non-Smoker,116,0.5
t3265,Male,Non-Smoker,117,0.5
t3265,Male,Non-Smoker,118,0.5
t3265,Male,Non-Smoker,119,0.5
t3265,Male,Non-Smoker,120,0.5
t3266,Female,Non-Smoker,18,2.7e-4
t3266,Female,Non-Smoker,19,2.7e-4
t3266,Female,Non-Smoker,20,2.7e-4
t3266,Female,Non-Smoker,21,2.7e-4
t3266,Female,Non-Smoker,22,2.7e-4
t3266,Female,Non-Smoker,23,2.7e-4
t3266,Female,Non-Smoker,24,2.8e-4
t3266,Female,Non-Smoker,25,2.8e-4
t3266,Female,Non-Smoker,26,2.8e-4
t3266,Female,Non-Smoker,27,2.9e-4
t3266,Female,Non-Smoker,28,3.1e-4
t3266,Female,Non-Smoker,29,3.3e-4
t3266,Female,Non-Smoker,30,3.4e-4
t3266,Female,Non-Smoker,31,3.6e-4
t3266,Female,Non-Smoker,32,4e-4
t3266,Female,Non-Smoker,33,4.6e-4
t3266,Female,Non-Smoker,34,5.2e-4
t3266,Female,Non-Smoker,35,5.9e-4
t3266,Female,Non-Smoker,36,6.7e-4
t3266,Female,Non-Smoker,37,7.5e-4
t3266,Female,Non-Smoker,38,8.2e-4
t3266,Female,Non-Smoker,39,8.5e-4
t3266,Female,Non-Smoker,40,8.6e-4
t3266,Female,Non-Smoker,41,8.7e-4
t3266,Female,Non-Smoker,42,8.7e-4
t3266,Female,Non-Smoker,43,8.8e-4
t3266,Female,Non-Smoker,44,8.8e-4
t3266,Female,Non-Smoker,45,8.9e-4
t3266,Female,Non-Smoker,46,9.2e-4
